frame,left_wrist_x,left_wrist_y,left_index_x,left_index_y,left_pinky_x,left_pinky_y,left_thumb_x,left_thumb_y,right_wrist_x,right_wrist_y,right_index_x,right_index_y,right_pinky_x,right_pinky_y,right_thumb_x,right_thumb_y
0,0.660790741443634,0.6455771923065186,0.5805119872093201,0.6554403901100159,0.6123038530349731,0.7022380828857422,0.5873128771781921,0.6332276463508606,0.26574382185935974,0.6012551188468933,0.3178099989891052,0.6122362613677979,0.29132476449012756,0.6530056595802307,0.3181297779083252,0.5902348756790161
1,0.6765742301940918,0.6435669660568237,0.595328688621521,0.6474552154541016,0.6201813220977783,0.6975362300872803,0.6052852869033813,0.6279083490371704,0.2460314780473709,0.609002411365509,0.3062538504600525,0.6122092604637146,0.29133784770965576,0.6513873338699341,0.3034301698207855,0.5909679532051086
2,0.6878811120986938,0.6393110752105713,0.60512775182724,0.6521883606910706,0.6362239718437195,0.6973490715026855,0.6127716302871704,0.629673421382904,0.23996011912822723,0.6105809807777405,0.2943258583545685,0.6188003420829773,0.2855570912361145,0.6571390628814697,0.2930637300014496,0.5979411005973816
3,0.6884602904319763,0.6413536667823792,0.6007510423660278,0.6594110727310181,0.6319803595542908,0.7011502385139465,0.6081478595733643,0.6361753344535828,0.2482689768075943,0.6181373000144958,0.2905987799167633,0.6332502961158752,0.2833321690559387,0.6635006070137024,0.2920844554901123,0.6125634908676147
4,0.6935088038444519,0.6427176594734192,0.6066536903381348,0.665244460105896,0.633457601070404,0.7034433484077454,0.6142197251319885,0.6415054202079773,0.24945034086704254,0.6320228576660156,0.27954524755477905,0.6402205228805542,0.27439814805984497,0.6754295229911804,0.2823900580406189,0.6182587742805481
5,0.690954864025116,0.642977237701416,0.6016393303871155,0.6683981418609619,0.6299652457237244,0.7064210176467896,0.6094394326210022,0.6444570422172546,0.24070033431053162,0.6430614590644836,0.2544286549091339,0.6575589776039124,0.2520248293876648,0.6919105052947998,0.2621641755104065,0.6367478370666504
6,0.6979390978813171,0.6434550285339355,0.602134644985199,0.6687676310539246,0.6351590752601624,0.7069776654243469,0.6106913685798645,0.6458248496055603,0.2265044003725052,0.6429964900016785,0.24300113320350647,0.6723407506942749,0.2332925647497177,0.7002118825912476,0.2539612650871277,0.6506912112236023
7,0.6922298669815063,0.6441380381584167,0.6009734272956848,0.6703349351882935,0.6315554976463318,0.7082956433296204,0.6071504354476929,0.64674973487854,0.22172726690769196,0.6456764340400696,0.23807834088802338,0.6933233737945557,0.22076307237148285,0.7141105532646179,0.2525142729282379,0.6706191897392273
8,0.688365638256073,0.6457014679908752,0.598419725894928,0.6706079840660095,0.6293394565582275,0.7089359760284424,0.6038438081741333,0.6475898027420044,0.21540364623069763,0.6498749256134033,0.23101559281349182,0.7076760530471802,0.2096516340970993,0.7253713011741638,0.2457229644060135,0.6851865649223328
9,0.6877322196960449,0.6480854749679565,0.5971512198448181,0.672359824180603,0.6289056539535522,0.7096686363220215,0.6022127866744995,0.6509166955947876,0.2102256715297699,0.6540141105651855,0.23066027462482452,0.7181493043899536,0.2018735706806183,0.7341844439506531,0.2453366369009018,0.6930614709854126
10,0.6868510246276855,0.6499434113502502,0.5901135206222534,0.6731848120689392,0.6260690093040466,0.710211992263794,0.595585286617279,0.6511602401733398,0.2099400907754898,0.6604864597320557,0.2340124100446701,0.7256412506103516,0.2012893408536911,0.7434310913085938,0.24892400205135345,0.698478102684021
11,0.6848103404045105,0.6503246426582336,0.588759183883667,0.6713717579841614,0.6250559091567993,0.7105433344841003,0.5953095555305481,0.649763822555542,0.21186330914497375,0.6702063679695129,0.23719358444213867,0.7263290882110596,0.2032821625471115,0.7496318221092224,0.2522042691707611,0.6975722908973694
